Genes	log2FoldChange	pvalue
LOC112579699	2.613013908	0.083456028
ZNF541	3.682692105	0.083464897
LOC123331457	2.174435063	0.08347028
LOC102391712	-0.777955264	0.083518436
LOC112582636	-2.084701175	0.083513948
LOC102391935	0.474155835	0.083517378
RC3H2	-0.455728949	0.083561907
LOC102396391	-4.177241105	0.083582227
SMARCD2	0.47878452	0.083645958
RSPH1	4.830313411	0.083704357
IFNE	4.830313411	0.083704357
DPP8	-0.523994607	0.083679233
LOC123464844	4.830313411	0.083704357
LOC123329126	4.830313411	0.083704357
LOC112579939	4.830313411	0.083704357
LOC123334988	2.861607431	0.083771231
ANKMY2	-0.493996918	0.083824905
ING1	0.661050872	0.08382989
EPHB1	4.108251929	0.083971361
LOC112583727	2.6333531	0.083983674
ERCC6	-0.706105903	0.084126247
BRD3OS	1.236489974	0.084162112
PYCR1	-0.962792997	0.084200213
ZFX	-0.584992884	0.084233525
DHRS3	0.676322787	0.084268607
TMEM161B	-0.665154761	0.084268639
IL17B	1.409794936	0.084291116
VNN1	-1.513731972	0.084301544
RIPPLY3	-4.170588856	0.084313333
APBA3	0.518716178	0.084370656
LOC123332539	-4.10746965	0.084404547
MLF2	0.557133624	0.084444756
LOC112585853	-0.833216016	0.08448732
UXT	0.877327807	0.084507592
LOC102399215	-1.211587368	0.084660469
RHEBL1	-2.168365434	0.084863367
WDR83OS	-0.632436167	0.085021148
LOC102408090	-0.563545215	0.085049964
LDAF1	0.854806575	0.085093537
LOC123334843	0.638011284	0.085174607
LOC123466200	1.011900233	0.08520647
SGMS2	0.501441825	0.085230273
MPP3	2.092862357	0.085307068
EMC8	-0.651788553	0.085338411
TRAPPC14	-0.530569526	0.085347641
LOC102416106	1.541979914	0.085389972
EFCAB3	3.012356063	0.085474025
BOK	-0.590486817	0.085533687
DDHD1	-0.571677556	0.085553752
FAR1	-0.478708724	0.085601319
BCORL1	0.56826825	0.085641407
NEK9	-0.467937505	0.085680059
SUSD1	0.639235428	0.085690821
TMTC3	-0.551259189	0.085701094
ING4	0.495475041	0.085800758
FLT4	-4.714119406	0.085805018
SLC5A3	-0.83627389	0.085829969
RAP2B	-0.4448973	0.08591723
MYOM1	1.462495944	0.085931993
PRPS1	0.607129358	0.085927609
LOC102411997	1.755767402	0.086103768
LOC112579898	-4.594301067	0.086148118
PRRG1	1.027856056	0.086161608
LOC112587920	4.812139596	0.086172228
CACNB1	1.11617479	0.086205106
OVGP1	1.887484443	0.086223871
IFT122	0.841090989	0.086223046
LOC112583651	-4.07246434	0.086265322
TRNAL-AAG_4	4.913952313	0.086306688
RGS12	-0.947002586	0.08632949
LOC123330643	-1.909973318	0.08632974
ZBTB5	0.758218415	0.086395856
TRMT44	-0.830103294	0.086398682
GADD45GIP1	1.041312082	0.086381727
DYNC2I2	0.839681548	0.086373477
LOC102396589	1.245483308	0.08645573
LOC102402751	1.952304901	0.086464505
NPC1	-0.801619515	0.086488532
POLR3A	-0.581229641	0.086557539
CLN8	0.508036247	0.086570062
LOC102410676	-0.820589926	0.086577076
SCNN1A	0.617847145	0.086620133
KCNH5	-1.500166039	0.086617267
RPL37	0.783680672	0.086712015
PEF1	0.513229916	0.086726043
LOC102391683	-2.788389654	0.086768383
LOC102389968	1.084796756	0.0868291
CIAO1	-0.636370335	0.086965442
DNAJB5	1.211652212	0.087004361
LHX8	-4.631052565	0.087038512
PDE7A	0.906728694	0.087172099
LGALS9	1.110348021	0.08718328
LOC102394156	1.87079649	0.087358152
TNIP1	0.611504805	0.08736458
LOC112581015	3.278540353	0.087377073
TRIR	0.691287931	0.087418165
LOC102404037	0.45688647	0.087422731
GTF2F2	-0.625572736	0.087439843
DHRS7B	0.590440247	0.087483422
ITPA	0.727021645	0.087572466
LOC102412381	-6.678997425	0.087596669
LOC102398570	2.259469827	0.087597517
CEP95	-0.798655749	0.087653487
LOC102396030	3.725563586	0.087723054
LOC123465148	-3.917893984	0.087797769
ATG9A	-0.621376764	0.087822813
RAB9B	2.846625893	0.087812551
TENM1	1.806547371	0.087817604
AP2M1	0.476159085	0.08791841
C24H7orf61	2.844192086	0.087941101
LOC112586220	1.609567309	0.08805788
KDM6A	-0.733768791	0.088127431
SH3BP1	-0.503247385	0.08817555
LOC112580967	4.862996667	0.088174402
APOA4	-3.142503007	0.088250482
IGSF23	-4.698764292	0.088362025
KRT10	2.114457039	0.088456103
LOC112585235	2.901179617	0.088490135
LOC112577894	-2.249058216	0.088537108
TRNAG-CCC_52	4.423287284	0.088617497
TRNAG-CCC_103	4.423287284	0.088617497
RPS15A	0.894514795	0.088642243
CDA	1.041856224	0.088692375
LOC112586169	1.960806707	0.088770846
TRIL	-1.139799449	0.088818538
LOC102402496	-6.653229436	0.088830632
QPCT	1.340769928	0.088839944
PNPLA7	0.846329008	0.088905862
LOC102388988	2.665000027	0.088913632
EIF3B	-0.431831153	0.088937536
CACNA1C	3.293507254	0.089026942
TRAF4	-0.577605503	0.089042237
CAPRIN1	-0.43647782	0.089056188
CDH20	-4.577530128	0.089092342
LOC123330555	-1.523389337	0.089109312
LOC102403241	0.65773886	0.089123585
LOC102399270	-0.861769257	0.089176598
TMEM53	1.363955991	0.089263145
LOC123331064	-4.616449535	0.089267479
MAOB	1.340661768	0.08931894
GMDS	-0.888872944	0.089365691
MCAM	2.753047782	0.089381357
PHB2	-0.588646148	0.08943514
GPANK1	0.582929784	0.089519538
LOC123333483	2.853582142	0.08951969
LOC123334811	4.048343718	0.089573483
LOC123329512	4.048343718	0.089573483
MRPS12	-0.862183908	0.089580954
CDK5R2	4.793633279	0.08968735
LOC102413088	4.793633279	0.08968735
LOC123333649	1.854315237	0.089646064
LOC123327648	4.793633279	0.08968735
KHK	1.178825503	0.089664158
LOC123329250	4.793633279	0.08968735
TNNI3	-3.095936436	0.089688707
LOC112580664	4.793633279	0.08968735
LOC102394430	1.375323811	0.089728501
USP34	-0.539925873	0.089760552
EPRS1	-0.482203906	0.089830961
MORN2	1.346679997	0.089830468
VAV3	0.708594879	0.089874249
GAK	-0.608548897	0.089907613
SUPT20H	-0.679064676	0.089903081
LOC123333214	0.970182571	0.089930916
SMAD6	-0.763467814	0.089926718
USP53	0.810706805	0.089941796
EXOSC2	-0.581809718	0.089965922
SERF2	0.743839796	0.09007817
ZNF274	0.922297077	0.090090798
SAC3D1	-1.242877985	0.090134383
LOC123331412	-4.032233745	0.090174709
SALL1	-1.633447278	0.090188571
CDC42BPG	0.624078508	0.09020154
P2RX2	-4.053417042	0.090304476
LOC123465122	-4.053417042	0.090304476
MAN2B1	-0.7642588	0.090402854
TRNAE-UUC_154	2.729775543	0.090398487
CRB2	-1.640194772	0.090487745
RBX1	0.740573067	0.09054543
LOC102403495	-1.739915544	0.09067282
NOX5	2.461729677	0.090676578
RHOT1	-0.495826477	0.090782373
LOC123333645	-3.999472939	0.090775241
LOC102394761	1.164422883	0.09080275
CT55	-4.045038045	0.090861383
LST1	1.910946101	0.090893753
SETD5	-0.698908225	0.090893313
LOC102391810	-4.557561757	0.090943221
DOCK6	0.547354812	0.091065664
POLR3H	-0.871242966	0.091177995
SLC35C2	-0.700153637	0.091171313
BMS1	-0.433324423	0.091213245
LOC102405876	2.096235949	0.091207684
LOC102401189	-0.727804548	0.091245552
NXPH3	-2.22366581	0.091333366
PSMG1	0.657931498	0.09145277
FCN3	4.330085712	0.091476777
KCNK13	4.330085712	0.091476777
VPS13A	-0.521146325	0.091496017
REXO1	-0.525602195	0.091498419
FAM78B	1.723860042	0.091534824
LOC123464705	-0.904729383	0.091539038
LOC123333987	-2.702541794	0.091574866
TMCO2	2.317548418	0.091622318
RPS3A	0.716301846	0.09166594
LOC102411804	0.746156432	0.091705522
CDKAL1	-0.584292911	0.091767882
ANXA13	3.348398692	0.091844302
TDRD9	-2.045426425	0.091852128
YAF2	-0.75477666	0.091889548
LOC112585855	1.511733619	0.09188688
SOX12	-1.092488823	0.091873603
LOC112583146	3.184524729	0.091976228
LOC123465529	0.800058286	0.091979246
BNC2	0.61199669	0.091966168
GPAT3	-0.596310419	0.091949498
CRLF3	-0.818270217	0.091998103
RAMP1	1.576972253	0.092050565
POLR1A	-0.869949405	0.09208149
SPDYA	1.80573708	0.092071557
OXSR1	-0.447745033	0.092074669
KATNAL1	0.644546996	0.092120605
JDP2	0.61351581	0.092133552
LOC123330003	-2.941442587	0.09219102
SLC24A4	-2.665031846	0.092219896
ZSCAN25	-0.670145609	0.092266364
TRNAC-GCA_151	4.369399312	0.092293893
ESRP2	0.463142603	0.092304828
JPT1	-0.637651529	0.09239036
REEP6	-1.778446387	0.092378249
HDGFL2	-0.640730764	0.092383669
SLC6A1	-2.371724417	0.092411052
HYDIN	-1.328807825	0.09246753
MBOAT7	0.96318823	0.092476763
ITFG2	0.71459078	0.092518108
ZFP41	1.149740486	0.092510245
HAUS5	-0.800824084	0.092560707
LRRN4CL	0.553308738	0.09267834
PI4KB	-0.514907725	0.092689577
RBAK	0.503208644	0.092696195
MANF	-0.89779742	0.092731863
LOC102408561	1.456677159	0.092747623
C7	3.249727056	0.092811045
ISG20	3.071911768	0.092884673
ELOVL1	-0.505508747	0.09293985
MRPS33	0.777415636	0.092972317
TRAPPC5	1.01477822	0.092970824
YAE1	1.005577329	0.093037847
MED11	0.833170069	0.093078401
MFSD13A	-0.857525921	0.093132417
KLF15	1.297872864	0.093198477
POT1	-0.594149892	0.093263054
LOC102394999	-0.679333424	0.09333836
GSDMB	-2.038397239	0.093380321
LOC112578768	2.509981373	0.093385009
FASN	-0.556847989	0.093396196
LOC102404254	1.136801897	0.093428817
ALDH3A2	-0.541822067	0.093465775
LOC123334223	-3.167678015	0.093491862
LOC112584148	3.724445927	0.093529166
LOC102409332	-1.113413208	0.093545384
ADGRG2	0.636055635	0.093537646
TMTC4	0.556903642	0.093648065
FRMD3	-1.348065187	0.093663239
SLC20A1	-0.54123225	0.093685005
LOC102392192	2.632426892	0.093713134
TNFRSF1B	0.529282534	0.093722764
LOC102408525	2.636709836	0.093834217
LOC102415186	0.575101709	0.093901256
LOC102414624	2.282739199	0.093985817
TFE3	0.483682717	0.094053604
SCLY	0.845703639	0.094064228
B4GALNT1	-3.970768381	0.094113681
KIF3A	-0.61677972	0.094151238
TTC14	-0.55887693	0.094216157
LOC123327575	4.778271815	0.094235043
PORCN	1.755421364	0.094228764
LOC123464769	2.028866174	0.094288001
LOC102402715	0.960004545	0.09429266
MOB3A	0.674316233	0.094340545
C17H22orf31	4.3254065	0.094337354
C18H19orf84	4.3254065	0.094337354
TRNAY-AUA_16	4.355431378	0.094393604
LOC102403818	0.537373527	0.094470966
LOC102397698	-2.127906948	0.094482026
LOC102402718	3.677397752	0.094562098
LOC112579766	3.677397752	0.094562098
TBC1D24	0.726261178	0.094592397
WDR53	0.733267816	0.09463156
LOC123328095	-4.034461215	0.094633478
ASH2L	-0.5113437	0.094660556
KBTBD11	0.887877289	0.094674536
FBXO16	1.87334161	0.094712377
RGS4	0.747453308	0.094726462
LOC123329066	-4.021374978	0.094720774
HECTD1	-0.546709001	0.094734541
LOC112585324	1.113117792	0.094770552
RP1	3.274336437	0.094805128
LOC102394398	-1.176273141	0.094841268
RPS6KA3	0.600697639	0.095104498
LTBR	0.679697753	0.095180291
DENND2C	0.925678033	0.095218173
LOC102415872	-4.01062274	0.095207126
NOC4L	-0.805619646	0.095227431
LOC123331305	-4.01062274	0.095207126
SMIM10L1	0.503295244	0.095289529
DENR	0.610393732	0.095294461
LOC102398554	-1.932869886	0.095322561
LOC112584433	1.556372902	0.09532812
NECTIN2	-0.6388794	0.095348919
ASB12	1.863801002	0.095425565
CSRNP2	0.622532422	0.095617634
GRIPAP1	0.652292836	0.095673209
LOC102411643	0.674335868	0.095723059
ERCC2	-0.588745919	0.095739378
LOC102391229	0.90056208	0.095827015
EMC6	0.920220144	0.095885893
LOC112581218	-4.51682402	0.095882814
FXR2	-0.470121667	0.095908214
LOC112579758	-1.416386171	0.095957304
WDR24	-0.699994096	0.096015604
SP5	-2.082418805	0.096106779
USP2	-0.918172277	0.096151866
NKAPD1	-0.48258693	0.096151139
NOP2	0.459795259	0.096187046
LOC102407940	-0.625627629	0.0962028
LOC123330292	-4.572734969	0.096226058
SEC23A	0.569617143	0.09624444
LOC112581735	2.177076763	0.096261302
ARID4A	0.63187336	0.096340195
LOC102395764	2.635362807	0.096366069
NTF4	-1.356336321	0.096440781
MRPL49	-0.576914585	0.096543441
LOC102395742	0.685751636	0.096563307
LOC102414615	1.469502935	0.096723535
SYNPO2L	-3.458736268	0.096781542
LOC102391278	0.853142508	0.096783904
LOC102395074	2.259628124	0.096824626
HNRNPA1	-0.371902835	0.096839431
NNAT	-1.190060777	0.096888046
COL4A6	-1.240806682	0.096881944
RASA1	-0.501858171	0.096948672
LOC102407903	5.671187584	0.097049062
VPS72	0.48911691	0.097054346
RPLP0	0.729041773	0.097072257
UTP15	-0.48984336	0.097060161
LOC102390247	3.123840689	0.097077897
LOC123332421	-4.089980353	0.097168476
IRF6	-0.528411707	0.097157164
LOC123334751	-4.089980353	0.097168476
LOC112578054	2.191534178	0.097268299
GEMIN5	-0.464645311	0.097308981
SERHL2	-3.964038224	0.097385438
ALX4	-3.964038224	0.097385438
CEP295NL	1.45498217	0.097548
VAX1	-4.074338217	0.097550334
ZBTB8A	-0.765584544	0.097578352
PNISR	0.833668202	0.097576175
POP4	0.6300426	0.097586033
LOC112579710	2.473310851	0.09770849
CCDC12	0.651091939	0.097704484
ASB6	0.52769005	0.097725651
CCNJL	1.133931858	0.097839401
COIL	-0.537682973	0.097952873
CREM	0.621929941	0.09796619
ACAP3	0.628972407	0.098015548
LOC102415281	-1.044500426	0.098009084
LOC102409347	0.419069165	0.098116754
TMEM266	-2.330131303	0.098147706
EIF4G1	-0.593474781	0.098182417
QSOX2	0.700510632	0.098250339
LOC123334673	3.716652192	0.098310055
LOC102416503	-6.462892143	0.098386467
FOLR2	1.180163162	0.098432195
LOC102409836	1.896218162	0.098461801
ARMC1	-0.429757142	0.098497925
LOC102406110	1.513959305	0.098579381
ADA2	1.840294192	0.098690753
LOC102392372	-1.375765852	0.098696908
RANBP3	-0.563140608	0.098666185
ASCC2	-0.627490337	0.098693592
PML	-0.73617984	0.098663184
TM9SF3	-0.445975696	0.098657983
CWF19L1	-0.642660158	0.09865471
ZSCAN29	-0.586410435	0.098781321
LOC112580460	2.128592797	0.098810536
FCHSD1	0.734224288	0.098828575
DAZAP1	-0.457298122	0.098973926
LIPJ	4.016917164	0.098992975
LOC102400718	-4.496029667	0.099030025
CNTN6	-4.496029667	0.099030025
ZNF407	-0.805693066	0.099030968
CCDC71L	1.031474913	0.099063994
RAB42	-2.496769937	0.099142575
CEP44	-0.69358614	0.099149699
THNSL1	-0.811422705	0.099189003
HECTD2	1.462054961	0.099194523
PRKDC	-0.673849338	0.099232889
C3H17orf80	-0.716777744	0.099259026
LOC102398887	2.300367221	0.099251618
C3H17orf58	-1.029444842	0.099331193
ACBD4	0.645011357	0.099366465
TASOR	0.474534227	0.099359361
FMOD	0.822997925	0.099521251
RP2	-0.69001488	0.099526199
TRIM32	1.163673872	0.099624301
LOC102392662	-0.701559216	0.099616958
ZNF180	-0.734579049	0.099634718
ACSM1	4.017036644	0.0997587
LOC112584184	-1.738462206	0.099780565
ERG	1.41416729	0.099841465
LPCAT3	-0.729313988	0.099844081
LOC102404051	-6.434761336	0.0998662
INTS9	-0.662578537	0.099886993
SNX2	0.554155544	0.099900546
MRPS16	0.924485205	0.099933184
LOC102394888	-1.961880778	0.099925793
AGBL1	-4.612463936	0.099950363
NMT1	-0.475958935	0.100003395
ACTR1B	0.600136885	0.100008169
LOC123333457	1.30069419	0.100061503
KANK1	1.180175644	0.100141435
LOC102404275	2.313756777	0.100134716
LOC102410395	-4.599624358	0.100222223
RASGRP1	-1.165834855	0.100249861
AVPI1	0.590749487	0.100272291
ILF3	-0.505426878	0.100336435
SLC43A1	0.714573797	0.100420081
LOC112579564	3.339411295	0.100432521
CASP7	-0.700220492	0.100556352
LOC112579709	3.584140798	0.100586287
LOC123330216	-3.064567764	0.100694634
DIP2A	0.611448324	0.100717631
LOC123334472	2.057275122	0.100787827
LOC123330835	1.6247178	0.100884605
SLC47A1	2.753186052	0.10092898
PLXNA2	1.071563995	0.100938671
CUTC	0.722722847	0.100997692
TRNAG-UCC_151	3.212082339	0.101001326
RPL10A	0.678746987	0.101060186
LOC123333307	1.980117213	0.101130258
LOC112584112	-3.278812053	0.10116997
LOC102391160	-2.541403165	0.101177994
LOC112578475	1.074553841	0.1012948
RNLS	-1.060857348	0.101329902
FADS6	1.213106015	0.101353262
RPS3	0.663433198	0.101367357
NELFB	-0.508293409	0.101387579
TMC6	-0.48375118	0.101472692
JAK3	1.329226363	0.101535452
RPS13	0.63112471	0.101534592
RFX5	-0.847241514	0.101560749
SDHAF3	-1.552414259	0.101601197
LOC123330539	-0.758713814	0.101688051
PCDH12	-1.292884248	0.101747406
BTNL9	4.755346371	0.101746425
LOC123464527	4.755346371	0.101746425
LRRC40	0.749668887	0.101786814
RPL29	0.59845886	0.101787478
MAP3K5	-0.599614405	0.101823004
WDR5	-0.439093896	0.101831117
THSD8	-2.305092289	0.10188295
SPCS1	0.750887467	0.101900356
APLN	1.036809727	0.101947188
NAALADL1	-1.390902597	0.101989187
PSMC5	-0.583335483	0.102033706
LOC123334145	4.695221165	0.102078362
LOC123329802	4.695221165	0.102078362
MARK1	-0.750349537	0.102124357
HIBCH	0.686253298	0.102200277
LOC102390226	0.976684992	0.102267684
BET1	-0.646383177	0.102265955
RCN3	-0.861182133	0.102311081
TNFAIP8	-0.494207312	0.10234255
SLC4A2	-0.660636331	0.102482734
LOC123327720	-1.745323402	0.102483027
BICRA	0.919311278	0.102500503
CHN1	0.980141408	0.102520119
LOC102414885	0.642349083	0.102555034
ZNF668	-0.88094242	0.102558371
PCDH9	2.43216338	0.102661552
KAT5	0.516736009	0.102683309
SKI	0.5141595	0.102702639
SLC31A2	0.800018129	0.10273449
LOC123464935	3.728443631	0.102753073
TSSK2	-1.54999325	0.102773035
REEP2	1.334917177	0.102809639
LOC123328482	1.358647357	0.102971782
GZMA	3.478978219	0.103069795
LOC102394989	0.566626687	0.103099259
LOC102392152	-0.751405644	0.103163204
LOC112578397	4.015189856	0.103175797
TADA2A	0.559515786	0.103241948
BRD2	0.455414759	0.103287088
DIRAS3	2.557261396	0.103302233
LOC123466000	2.557261396	0.103302233
MDH2	-0.533577481	0.10329571
FBXO40	1.942314922	0.103426788
FDXACB1	-1.001767939	0.103450323
LOC112579169	-1.608780195	0.103552852
CACNA1B	2.005833193	0.103578575
SLC28A3	-1.64993871	0.103637529
TNKS1BP1	-0.687540433	0.103761931
VPS9D1	-1.05852954	0.103768515
ANGPT1	1.811884369	0.103810676
SLCO4A1	-1.056647967	0.103855649
CEBPB	0.459208072	0.103886534
STAM2	-0.476434466	0.10394501
APLP2	0.371550105	0.103943919
HMCES	-0.625576391	0.103927517
SAT2	1.453840682	0.104048982
DDX1	-0.443286432	0.104122853
ARMCX4	-1.242025473	0.104163923
HNRNPA0	-0.528957488	0.104185418
LOC112581859	-2.231567135	0.104235539
UTP6	-0.560423903	0.104274249
ALKBH6	0.88604802	0.104281721
LOC123328960	-1.411895364	0.104366121
TCP11L1	0.537027226	0.104375244
LOC123331612	-1.697506084	0.104432706
ATP6V0B	-0.845752555	0.104467874
ARHGAP5	-0.532707076	0.104549286
LOC102407917	-1.127192516	0.104596017
DNAJA4	0.661185283	0.104611881
IL10	3.537033466	0.104649496
LOC112584630	3.180710781	0.104667717
NAA35	0.654464668	0.104739912
NKX2-3	3.561242096	0.104757671
LMAN1	-0.42425003	0.104783834
LOC123329660	-2.431960733	0.104835971
DCAF1	-0.464996941	0.104840747
MCPH1	-0.660470664	0.104929247
TM4SF18	-1.840349624	0.104934314
LOC123330863	3.446352549	0.105062957
LOC102398822	-3.948279137	0.1050796
CTSW	3.154879804	0.105247484
LOC102393570	-4.117627961	0.105253539
LOC123331265	3.154879804	0.105247484
MRPL14	0.667188151	0.10530267
DIP2C	0.637669995	0.105323295
PJVK	-4.447955034	0.105344578
AGPS	-0.458199768	0.105399384
LOC123465509	-3.945909877	0.105432591
LOC102408084	-3.945909877	0.105432591
ZCCHC18	2.313423005	0.105520175
ATP1B3	0.720459415	0.105545479
ABCA4	-1.928422862	0.105614722
FANCA	-0.776100279	0.105630105
DPY19L4	-0.700070288	0.105734836
LOC112587479	4.67521258	0.105800496
VPS33B	0.514384777	0.105805579
FOXS1	1.729913506	0.105819771
ALG12	-0.734785488	0.105844796
INSYN2A	-1.149245786	0.105855728
UCHL5	0.623043195	0.105869669
H0I40_mgp06	-0.567279335	0.105912061
PRMT9	-0.522459147	0.105927112
ACTRT3	1.158139739	0.105953507
LOC102395397	-1.061360877	0.105988609
CDKL4	-1.238855891	0.106011087
ZSWIM1	-1.68875228	0.106047465
NPY1R	2.479954222	0.106087127
H0I40_mgp13	0.582272572	0.106090375
MCRIP2	-0.948656219	0.106158797
LOC102391747	-4.460923228	0.106178826
ZNF384	-0.670238481	0.106215657
MTF1	-0.552003007	0.106278947
SNW1	0.421339332	0.106303604
CCDC110	2.429331399	0.106387725
ISG15	-2.305074335	0.106434002
TMEM59	0.559660223	0.106455869
RPS6	0.626845071	0.106486442
NCBP3	0.458563068	0.106530925
LZIC	-0.485519944	0.10656044
DSC1	3.076569673	0.106557736
NAGLU	0.776999804	0.106741329
FEM1A	-0.451728819	0.106779279
LOC112582430	-3.140610286	0.106855779
RPAP1	-0.506452574	0.106984204
LOC112584821	-1.83020169	0.107010815
KDM4C	-0.668102017	0.107211977
HPS4	-0.711764762	0.107267854
METTL13	-0.785555644	0.107281892
HELQ	-0.603671036	0.107308963
LOC123333101	-4.48544418	0.10732675
RIDA	0.928370546	0.10735291
PSKH1	-0.559258842	0.107357934
NEMP2	-0.737363346	0.107460923
DXO	0.543310033	0.107478473
LOC102413458	-1.707242902	0.107489699
LOC102390826	2.410490483	0.107539511
LOC102403257	0.906281377	0.10753256
MKX	-2.456192499	0.107538814
SMARCC2	0.562000522	0.107710678
POLR1H	1.033324078	0.107845525
